ASIN,description,manufacturer,number_of_reviews,product_URL,product_description,product_name,product_price,rating
B09V5HRYR7," Care Instructions: Hand Wash Only  , It is sample in look but is very comfortable and it of high quality || ALL MATERIAL USED ARE MADE IN INDIA || Can be used as a laptop bag , school bag , casual backpack , college bag , backpack , bags , bagpack etc<br> <br>  , Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.<br> <br>  , This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.<br> <br>  , Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.; Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo<br>; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches; Closure Type: Zipper<br> <br>  , Special Features: Magazine Holder; Pattern Name: Solid <br>  ",Capriff,"3,102 ratings,3,102 ratings",https://www.amazon.in/Waterproof-Backpack-Students-adjustable-Compartment/dp/B09V5HRYR7/ref=sr_1_258?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-258," Care Instructions: Hand Wash Only  , It is sample in look but is very comfortable and it of high quality || ALL MATERIAL USED ARE MADE IN INDIA || Can be used as a laptop bag , school bag , casual backpack , college bag , backpack , bags , bagpack etc<br> <br>  , Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.<br> <br>  , This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.<br> <br>  , Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.; Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo<br>; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches; Closure Type: Zipper<br> <br>  , Special Features: Magazine Holder; Pattern Name: Solid <br>  ,Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc",        CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment       ,699," 3.8 , 3.8 "
STRING BAG -SP-1419," Care Instructions: Hand Wash Only  , Drawstring/String bag (backpack), a very fine multiple use drawstring bag with excellent finish and durability  , It is made of polyester fabric and efficient to hold your essentials,Material : polyester Washable (Machine / Hand Wash) and durable  , Its compact size and style definitely adds in your dazzling personality. Casual usage also  , Good bag with an attractive design and trendy color, front digital print and back side plain Polyester fabric,Multi-purpose, Fitness Football, Riding, Running ,Gym Bag and all sports persons  , Width: 13 inches Height: 19 inches Depth: 4 inches, (33 X 48 X 10 ) cm. Bag Capacity: 18 L  ",B09ZL3SCTQ,"6 ratings,6 ratings",https://www.amazon.in/Multicolour-Printed-Drawstring-Polyester-Backpack/dp/B09ZL3SCTQ/ref=sr_1_257?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-257," Care Instructions: Hand Wash Only  , Drawstring/String bag (backpack), a very fine multiple use drawstring bag with excellent finish and durability  , It is made of polyester fabric and efficient to hold your essentials,Material : polyester Washable (Machine / Hand Wash) and durable  , Its compact size and style definitely adds in your dazzling personality. Casual usage also  , Good bag with an attractive design and trendy color, front digital print and back side plain Polyester fabric,Multi-purpose, Fitness Football, Riding, Running ,Gym Bag and all sports persons  , Width: 13 inches Height: 19 inches Depth: 4 inches, (33 X 48 X 10 ) cm. Bag Capacity: 18 L  ,This CSZ backpacks is made of polyester. This backpack has one main compartment. This drawstring backpack is efficient to hold your essentials. The Drawstring bag is excellent quality and durability. These backpacks are available in brilliant and long lasting colors. This backpack is perfect for sports man, athletes and students also. Its compact size and style definitely adds in your dazzling personality. Dimension: (W x H): 13 x 19 inch. (33 X 48 cm) This bag is easy to wash. Shop with Confidence. Material: Polyester. Easily Washable and Durable.",        18 L Multicolour Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/Yoga/College/Casual Backpack – Light Weight/Washable       ,199," 4.4 , 4.4 "
8102," A unique, 4-way adjustable fly harness that provides better weight balance, multiple degrees of adjustment and wearing comfort for practically any body type.  , Quick release fastening system.  , Reengineering back foam for support and airflow  , An enhanced weight balancing design.  , Additional space to keep hydration bladder option available.  ",B0C3RPLSJB,"66 ratings,66 ratings",https://www.amazon.in/Carbonado-X16-Motocross-Travelling-Adventure/dp/B0C3RPLSJB/ref=sr_1_236_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281060&sprefix=ba%2Caps%2C283&sr=8-236-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1," A unique, 4-way adjustable fly harness that provides better weight balance, multiple degrees of adjustment and wearing comfort for practically any body type.  , Quick release fastening system.  , Reengineering back foam for support and airflow  , An enhanced weight balancing design.  , Additional space to keep hydration bladder option available.  ,This is the ultimate rider’s backpack loaded with features that blow conventional backpacks out of the water. Whether you’re trail riding, straight-up racing or even rallying, the X’s lightweight design with its 4-way fly harness and magnetic fasteners gives you infinite adjustment possibilities, on any terrain. A strategically designed back padding that adapts to the contours of your back with a breathable overlay for precise air flow and comfort.","        Carbonado X16 - Motocross, Biking, Cycling, Marathon running, Travelling,Adventure Backpack with Hydration pack support - Holds laptop upto 15inch       ","3,950"," 4.6 , 4.6 "
UC-10008-SCHOOL-BAG," Age Range Description: Adult <br>  , Pattern Name: Solid <br>  , Warranty Description: 12 Month Manufacturing Defects Only <br>  , Style Name: Casual <br>  , Material Type: Polyester <br>  ",B09GYGCK54,"415 ratings,415 ratings",https://www.amazon.in/Backpack-Colleges-Luggage-Waterproof-Stylish/dp/B09GYGCK54/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-256," Age Range Description: Adult <br>  , Pattern Name: Solid <br>  , Warranty Description: 12 Month Manufacturing Defects Only <br>  , Style Name: Casual <br>  , Material Type: Polyester <br>  ,Urban Carrier Always Stylish Trendsetter backpack is stylish and appeals to todays generation and lifestyle. This backpack is made of extremely tough and durable materials. Its designed to carry and protect laptops up 17 screen size with spacious compartments and multiple pockets to carry your belongings. The larger main compartments with front easy to access pockets, side mesh pockets for water bottle storage provide generous storage in this sporty, durable backpack. Built to protect and transport up to 15.6"" laptops and tablets with space for your accessories and business tools, Trendsetter is designed for the modern commuter; fitting in overhead compartments or beneath the seat. Contains 2 Air mesh water bottle compartments. Grab It. Shoulder It. Grab and go handles. Padded shoulder straps keep you comfortable on the move.","        URBAN CARRIER Unisex Waterproof Medium Laptop Backpack for School and Colleges (Grey, Large, 45 Liters)       ",579," 4.0 , 4.0 "
B09TL193PL," DIMENSIONS: 7.5 x 3.5 x 11.5 inch (L x W x H); NOTE - You can’t use it as a tiffin bag & Image of the sling shoulder bag may appear bigger or smaller than real, so kindly check the dimensions before placing an order  , MATERIAL & COMPARTMENT  - Craloft sling bag for men made up of polyester fabric with 4 compartments (3 pockets & 1 additional tablet compartment)  , ADJUSTABLE BELT - The soft adjustable belt of this crossbody sling bag satisfy your different length need  , TABLET COMPARTMENT - Carry up to a 11-inch iPads / samsung galaxy / lenovo / realme pads tablets in a specific additional secure 5mm layer section, that protects your device from various elements  , Craloft side bag looks compact but is too spacious for carrying all necessities like a wallet, cellphone, charger, earphones, sunglasses, an 11-inch tablet, an A5 book, pens, keys, cards, etc.  ",Craloft,"454 ratings,454 ratings",https://www.amazon.in/Polyester-Crossbody-Messenger-Business-Spacious/dp/B09TL193PL/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-259," DIMENSIONS: 7.5 x 3.5 x 11.5 inch (L x W x H); NOTE - You can’t use it as a tiffin bag & Image of the sling shoulder bag may appear bigger or smaller than real, so kindly check the dimensions before placing an order  , MATERIAL & COMPARTMENT  - Craloft sling bag for men made up of polyester fabric with 4 compartments (3 pockets & 1 additional tablet compartment)  , ADJUSTABLE BELT - The soft adjustable belt of this crossbody sling bag satisfy your different length need  , TABLET COMPARTMENT - Carry up to a 11-inch iPads / samsung galaxy / lenovo / realme pads tablets in a specific additional secure 5mm layer section, that protects your device from various elements  , Craloft side bag looks compact but is too spacious for carrying all necessities like a wallet, cellphone, charger, earphones, sunglasses, an 11-inch tablet, an A5 book, pens, keys, cards, etc.  ",        CRALOFT Polyester 11.5 inch Side Bag For Men/Sling Bag/Crossbody Tablet Messenger Bag For Office Business Travel (Extra Spacious)       ,529," 4.3 , 4.3 "
B0C3RBGHCN," 【Fashion and Easy Carry-on】6 colors available for your option. With light weight, you can carry it easily on your shoulder or hands, and hold it on your trolley sturdily.  , 【Large and Multiple pockets】Our Tote bag has 3 multiple interior compartments and 1 outer pouch, which helps to put your items separately. Large and extendable storage meets the need for overnight or shot trip.  , 【Dry Wet Separated Tote Bag】Interior water proof zipper compartment can separate your wet cloth from dry. Water resistant fabric can be cleaned easily.  , 【Wide Application Duffels Bag】Our bag is a perfect choice for indoor and outdoor activities, like gym, sports, camping on beach. It can also be used as a weekend bag, school duffel bag, and airplane duffel bag.  , 【100% SATISFACTION GUARANTEED】--Customers’ satisfaction is our mission. We're confident you'll love our products, but if you're not 100% SATISFIED, our customer service team will work with you to make it right!  ",It's Apna,"22 ratings,22 ratings",https://www.amazon.in/Sprqcart-Travel-Shoulder-Weekender-Overnight/dp/B0C3RBGHCN/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-260," 【Fashion and Easy Carry-on】6 colors available for your option. With light weight, you can carry it easily on your shoulder or hands, and hold it on your trolley sturdily.  , 【Large and Multiple pockets】Our Tote bag has 3 multiple interior compartments and 1 outer pouch, which helps to put your items separately. Large and extendable storage meets the need for overnight or shot trip.  , 【Dry Wet Separated Tote Bag】Interior water proof zipper compartment can separate your wet cloth from dry. Water resistant fabric can be cleaned easily.  , 【Wide Application Duffels Bag】Our bag is a perfect choice for indoor and outdoor activities, like gym, sports, camping on beach. It can also be used as a weekend bag, school duffel bag, and airplane duffel bag.  , 【100% SATISFACTION GUARANTEED】--Customers’ satisfaction is our mission. We're confident you'll love our products, but if you're not 100% SATISFIED, our customer service team will work with you to make it right!  ","        Sprqcart Travel Duffel Bag, Sports Tote Gym Bag, Shoulder Weekender Overnight Bag for Women (Green)       ",474," 4.5 , 4.5 "
B0BC48NDJP," Care Instructions: Wipe with Damp Cloth  , Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers  , Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)  ",Acefour Accessories Pvt. Ltd.,"28 ratings,28 ratings",https://www.amazon.in/uppercase-resistant-sustainable-Rainproof-Detachable/dp/B0BC48NDJP/ref=sr_1_262_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-262-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Wipe with Damp Cloth  , Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers  , Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)  ","        uppercase 22 Ltrs Large (14.6 inch) Laptop Backpack 2900EBP1 Bucket Outdoor 3x more water repellent sustainable bag with Rainproof zipper & Detachable organizer for Men, Women, Boys and Girls , 750 Days warranty       ","1,600"," 4.4 , 4.4 "
Wildcraft," Outer Material: Nylon, Color: Typo_Blu  , Capacity: 35 liters; Dimensions: 7.5 inches x 12.5 inches x 18.5 inches (LxWxH)  , Number of compartments: 2  , Warranty type: Manufacturer; 5 years manufacturer warranty is non-transferable and valid for 5 years from the original date of purchase  ",28 January 2018,"234 ratings,234 ratings",https://www.amazon.in/Wildcraft-Typo_Blu-Casual-Backpack-11619-Typo_Blu/dp/B079DDV3JD/ref=sr_1_255_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-255," Outer Material: Nylon, Color: Typo_Blu  , Capacity: 35 liters; Dimensions: 7.5 inches x 12.5 inches x 18.5 inches (LxWxH)  , Number of compartments: 2  , Warranty type: Manufacturer; 5 years manufacturer warranty is non-transferable and valid for 5 years from the original date of purchase  ,Two compartment for better organisation, side fabric pocket for carrying a bottle, padded back system for better back support, padded shoulder straps for comfort, ease of carrying, quick-grab haul loop, quick-access, flat front pocket to store basic essentials, multi-level organiser for storing accessories.",        Wildcraft 35 Ltrs Casual Backpack (11619-Blue)       ,"1,298,1,298"," 4.2 , 4.2 "
," High Quality Jute and Cotton Fabric and this bag is a luxurious and perfect for yoga and Pilates. Size 62 cm, 16 cm Diameter. Standard size Mat can hold.  , This bag is perfect size for Yoga Mats, Props & Accessoress carrying to yoga classes and store in your house.  , This bag can accommodate, Bigger Mat, Yoga Blocks, Blanket, Eye Pillow, Yoga Strap and your personal belonging like purse, Mobile, key's.  , carrying strap provided makes it convenient to put the mat inside the bag  , High quality drawstring rope for closure, PROUDLY MADE IN INDIA.  ",,"739 ratings,739 ratings",https://www.amazon.in/STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-254," High Quality Jute and Cotton Fabric and this bag is a luxurious and perfect for yoga and Pilates. Size 62 cm, 16 cm Diameter. Standard size Mat can hold.  , This bag is perfect size for Yoga Mats, Props & Accessoress carrying to yoga classes and store in your house.  , This bag can accommodate, Bigger Mat, Yoga Blocks, Blanket, Eye Pillow, Yoga Strap and your personal belonging like purse, Mobile, key's.  , carrying strap provided makes it convenient to put the mat inside the bag  , High quality drawstring rope for closure, PROUDLY MADE IN INDIA.  ","        STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)       ",189," 3.6 , 3.6 "
B0BJ6SCMNH," Care Instructions: Hand Wash Only  , Tommy Hilfiger Mens 15 Inch Laptop Business case made from Polyester  , This Backpack offers Elite Features with Uncompromising Style and Comfort.  , Basic Laptop Compartment + Simple Organiser + Rain Coat  , Tommy Hilfiger Typography On Front Of Backpack  ","Brand Concepts Ltd, 140/2/2 Musakedi Squre, Ring Road, Indore, MP, 452001","4 ratings,4 ratings",https://www.amazon.in/Tommy-Hilfiger-Elegant-Polyester-Backpack/dp/B0BJ6SCMNH/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-253," Care Instructions: Hand Wash Only  , Tommy Hilfiger Mens 15 Inch Laptop Business case made from Polyester  , This Backpack offers Elite Features with Uncompromising Style and Comfort.  , Basic Laptop Compartment + Simple Organiser + Rain Coat  , Tommy Hilfiger Typography On Front Of Backpack  ,One of the leading lifestyle brands, TOMMY HILFIGER delivers superior styling, quality and value to consumers worldwide. The brand celebrates the essence of classic American cool and provides a refreshing twist to classic, American fashion.",        Tommy Hilfiger Elegant Unisex Polyester 15 Inch Laptop Backpack Red+White+Blue       ,"2,219"," 5.0 , 5.0 "
c," Comfortable & Sturdy :- Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on. Comfortable soft padded back design with thick but soft multi-panel ventilated padding, gives you maximum back support.  , Uses :- Perfect Used for Office, Working, College Students, Shopping, Dating, Travelling, Camping, Hiking, Value Gifts etc. A Must Have for Business Documents, School Supplies, Travel Accessories and Laptop Accessories.  , Durable & Solid :- Made of Water Resistant material with metal zippers. Ensure a secure & long-lasting usage everyday & weekend. Serve you well as professional office work bag, college high school big students backpacks for boys, girls, teens  , Storage :- This Backpack has Super Big Storage Space for Your Daily Necessities. Lots of Pockets Make Your Items Organized and Easier to Find.  , Capacity: 45Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.  ",B0CBM6DSMY,,https://www.amazon.in/Waterproof-Backpack-College-Students-adjustable/dp/B0CBM6DSMY/ref=sr_1_261_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-261-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Comfortable & Sturdy :- Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on. Comfortable soft padded back design with thick but soft multi-panel ventilated padding, gives you maximum back support.  , Uses :- Perfect Used for Office, Working, College Students, Shopping, Dating, Travelling, Camping, Hiking, Value Gifts etc. A Must Have for Business Documents, School Supplies, Travel Accessories and Laptop Accessories.  , Durable & Solid :- Made of Water Resistant material with metal zippers. Ensure a secure & long-lasting usage everyday & weekend. Serve you well as professional office work bag, college high school big students backpacks for boys, girls, teens  , Storage :- This Backpack has Super Big Storage Space for Your Daily Necessities. Lots of Pockets Make Your Items Organized and Easier to Find.  , Capacity: 45Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.  ,High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.. Durable Its high-quality fabric and seam strength ensure that this backpack lasts long, even if you use it all day, everyday. Lightweight Eco-friendly Fabric Designed with an eco-friendly, virgin polyester fabric, this bag is lightweight and easy to carry. Water- and Stain-resistant Take this backpack with you everywhere you go, to office or to a trek, without worrying about damage as it’s stain-resistant and fluid-resistant.","        Casual Waterproof Laptop Bag | Backpack | for Office | School | College |Teens & Students| Travel | For Girls And Boys, Mens And Womens With adjustable Strap       ",955,
1571," Product Size -14x11x4 Inch / 35.56 x 28 x 10 cm , Product Color - Dark Grey , Materil Type Name - Khadi Fabric.Smooth Zipper and Flap Closure. Material Feature - Water and Scratch Resistance  , Design for 14.1 inch laptop with Laptop compartment with dual zippered access and thick foam padding, protects your laptop very well. Made of top fabric, designed to be very lightweight and slim, but stylish, practical and durable.  , It's a perfect messanger sling bag for working, short traveling, school and daily using.Adjustable Crossbody Shoulder Strap: Carry your crossbody bag securely thanks to the fully adjustable strap.  , Number of Compartments: 1 zipper and 1 open Pocket on flap & 2 Zipper Compartment inside. and seperate Laptop padded Compartment inside the zipper compartment.  , Made in India product , Consisting of good stitching and Smooth zippers, this sling ensures long lasting durability & strength.You can use this bag as a messenger bag, shoulder bag, suitable for your office, college, outdoor travels, university, meeting, and business for everyday use.  ",B09KV7Y3KL,"284 ratings,284 ratings",https://www.amazon.in/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-250," Product Size -14x11x4 Inch / 35.56 x 28 x 10 cm , Product Color - Dark Grey , Materil Type Name - Khadi Fabric.Smooth Zipper and Flap Closure. Material Feature - Water and Scratch Resistance  , Design for 14.1 inch laptop with Laptop compartment with dual zippered access and thick foam padding, protects your laptop very well. Made of top fabric, designed to be very lightweight and slim, but stylish, practical and durable.  , It's a perfect messanger sling bag for working, short traveling, school and daily using.Adjustable Crossbody Shoulder Strap: Carry your crossbody bag securely thanks to the fully adjustable strap.  , Number of Compartments: 1 zipper and 1 open Pocket on flap & 2 Zipper Compartment inside. and seperate Laptop padded Compartment inside the zipper compartment.  , Made in India product , Consisting of good stitching and Smooth zippers, this sling ensures long lasting durability & strength.You can use this bag as a messenger bag, shoulder bag, suitable for your office, college, outdoor travels, university, meeting, and business for everyday use.  ,Wooum Water Resistant Material Sling Bag / One Side Bag / Shoulder Bag / Messenger Bag / Office Messenger Bag / Travel Side Bag with 14.1 Inch Laptop Compartment -",        Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -       ,474," 4.0 , 4.0 "
_ bagpack_," Comfortable & Sturdy :- Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on. Comfortable soft padded back design with thick but soft multi-panel ventilated padding, gives you maximum back support.  , Uses :- Perfect Used for Office, Working, College Students, Shopping, Dating, Travelling, Camping, Hiking, Value Gifts etc. A Must Have for Business Documents, School Supplies, Travel Accessories and Laptop Accessories.  , Durable & Solid :- Made of Water Resistant material with metal zippers. Ensure a secure & long-lasting usage everyday & weekend. Serve you well as professional office work bag, college high school big students backpacks for boys, girls, teens  , Storage :- This Backpack has Super Big Storage Space for Your Daily Necessities. Lots of Pockets Make Your Items Organized and Easier to Find.  , Capacity: 45Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.  ",B0CBG1T968,,https://www.amazon.in/Stylish-Waterproof-Backpack-Students-adjustable/dp/B0CBG1T968/ref=sr_1_251_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690281065&sprefix=ba%2Caps%2C283&sr=8-251-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1&smid=A1ZE4HLINKTEV3," Comfortable & Sturdy :- Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on. Comfortable soft padded back design with thick but soft multi-panel ventilated padding, gives you maximum back support.  , Uses :- Perfect Used for Office, Working, College Students, Shopping, Dating, Travelling, Camping, Hiking, Value Gifts etc. A Must Have for Business Documents, School Supplies, Travel Accessories and Laptop Accessories.  , Durable & Solid :- Made of Water Resistant material with metal zippers. Ensure a secure & long-lasting usage everyday & weekend. Serve you well as professional office work bag, college high school big students backpacks for boys, girls, teens  , Storage :- This Backpack has Super Big Storage Space for Your Daily Necessities. Lots of Pockets Make Your Items Organized and Easier to Find.  , Capacity: 45Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.  ,High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.. Durable Its high-quality fabric and seam strength ensure that this backpack lasts long, even if you use it all day, everyday. Lightweight Eco-friendly Fabric Designed with an eco-friendly, virgin polyester fabric, this bag is lightweight and easy to carry. Water- and Stain-resistant Take this backpack with you everywhere you go, to office or to a trek, without worrying about damage as it’s stain-resistant and fluid-resistant.","        Stylish Waterproof Laptop Bag | Backpack | for Office | School | College |Teens & Students| Travel | For Girls And Boys, Mens And Womens With adjustable Strap (Style-2)       ",499,
Designed by Mokobara Lifestyle Private Limited.," CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes  , PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 40 x 8 x 29.5 cm, Capacity: 9.5L, Fits up to a 16” laptop  , MOST FEATURE RICH BACKPACK: Vegan leather trims, Hidden passport/phone pocket on front and back, Luggage sleeve  , DETACHABLE BELT: Strap it on your shoulder or carry it your way  , MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)  ",13 January 2021,"318 ratings,318 ratings",https://www.amazon.in/MOKOBARA-THABF12CSC22001-Briefcase-Surf-Camp/dp/B08SWM8XVW/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1690281069&sprefix=ba%2Caps%2C283&sr=8-276," CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes  , PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 40 x 8 x 29.5 cm, Capacity: 9.5L, Fits up to a 16” laptop  , MOST FEATURE RICH BACKPACK: Vegan leather trims, Hidden passport/phone pocket on front and back, Luggage sleeve  , DETACHABLE BELT: Strap it on your shoulder or carry it your way  , MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)  ","        MOKOBARA The Briefcase - 15.6"" Blue Laptop Messenger Bag for Men & Women       ","5,499"," 4.5 , 4.5 "
